epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6412,1.81511,3.40367,1.65285,0.00305,0.79412,0.24302,0.12323,1.52542,3.06892,1.33303,0.000409946,0.000409946,0.000409946
2,52.0893,1.58397,2.46086,1.39708,0.4463,0.5011,0.44068,0.21366,1.68598,2.32856,1.52689,0.000810246,0.000810246,0.000810246
3,76.8469,1.57192,2.26835,1.41712,0.60224,0.55445,0.47573,0.25207,1.65076,2.23745,1.73922,0.00119405,0.00119405,0.00119405
4,101.604,1.54833,2.05889,1.43647,0.53274,0.60063,0.5102,0.242,1.67674,1.91205,1.51999,0.00117575,0.00117575,0.00117575
5,126.433,1.52968,1.86811,1.42992,0.57816,0.63758,0.62474,0.29029,1.64766,1.99549,1.64182,0.001151,0.001151,0.001151
6,151.392,1.48502,1.73421,1.40172,0.54768,0.55126,0.57082,0.28289,1.69695,1.92425,1.64579,0.00112625,0.00112625,0.00112625
7,176.258,1.50413,1.58656,1.42254,0.67799,0.67448,0.7275,0.40811,1.51897,1.64304,1.56048,0.0011015,0.0011015,0.0011015
8,201.05,1.44982,1.53108,1.41598,0.73356,0.71418,0.78767,0.42249,1.52415,1.37314,1.5578,0.00107675,0.00107675,0.00107675
9,225.848,1.42816,1.3971,1.42167,0.7891,0.68442,0.80364,0.44649,1.54247,1.18024,1.60769,0.001052,0.001052,0.001052
10,251.01,1.42336,1.3654,1.40282,0.77598,0.75673,0.83231,0.48116,1.46863,1.16597,1.55254,0.00102725,0.00102725,0.00102725
11,276.554,1.39017,1.34115,1.39823,0.76947,0.75555,0.82067,0.45301,1.51959,1.11021,1.60377,0.0010025,0.0010025,0.0010025
12,301.736,1.39924,1.2985,1.39676,0.80042,0.76436,0.85347,0.47384,1.51907,1.11167,1.61167,0.00097775,0.00097775,0.00097775
13,326.651,1.40915,1.24393,1.41082,0.7076,0.74092,0.77259,0.43581,1.56701,1.16194,1.66654,0.000953,0.000953,0.000953
14,351.465,1.38443,1.2321,1.42142,0.65972,0.77766,0.79374,0.45146,1.47035,1.23896,1.59092,0.00092825,0.00092825,0.00092825
15,376.466,1.34049,1.21074,1.36495,0.80299,0.76492,0.83634,0.48496,1.41321,1.09708,1.50466,0.0009035,0.0009035,0.0009035
16,401.351,1.35572,1.17903,1.36978,0.79837,0.73322,0.83992,0.48923,1.45277,1.04388,1.58552,0.00087875,0.00087875,0.00087875
17,426.361,1.35178,1.13543,1.38176,0.84016,0.81941,0.87048,0.49429,1.50423,0.95942,1.6107,0.000854,0.000854,0.000854
18,451.199,1.35311,1.13475,1.36929,0.83318,0.82475,0.87214,0.48561,1.47717,0.95532,1.57049,0.00082925,0.00082925,0.00082925
19,476.082,1.34367,1.10485,1.36312,0.75741,0.78375,0.8458,0.48012,1.44778,1.09904,1.56272,0.0008045,0.0008045,0.0008045
20,500.878,1.33358,1.10419,1.37235,0.85054,0.75119,0.85667,0.48457,1.46218,0.98739,1.56709,0.00077975,0.00077975,0.00077975
21,525.741,1.29215,1.07834,1.33768,0.78944,0.8233,0.86286,0.48386,1.4527,1.0004,1.55594,0.000755,0.000755,0.000755
22,550.56,1.30095,1.03613,1.33977,0.79467,0.83,0.86819,0.5,1.43742,0.97292,1.56401,0.00073025,0.00073025,0.00073025
23,575.588,1.2866,1.03777,1.3232,0.79727,0.82449,0.87387,0.48691,1.45904,0.95748,1.56884,0.0007055,0.0007055,0.0007055
24,600.794,1.28604,1.02157,1.33544,0.83358,0.81524,0.87543,0.49632,1.49035,0.93203,1.6176,0.00068075,0.00068075,0.00068075
25,625.869,1.26742,0.9731,1.33026,0.79921,0.80259,0.87149,0.50657,1.41418,0.97343,1.54097,0.000656,0.000656,0.000656
26,650.936,1.24535,0.97828,1.31863,0.8568,0.82216,0.89381,0.5252,1.40965,0.88515,1.54884,0.00063125,0.00063125,0.00063125
