epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4842,2.02958,4.19255,2.13976,0.34032,0.618,0.30925,0.09138,2.04273,2.65526,2.06305,0.000413306,0.000413306,0.000413306
2,123.264,1.78938,2.33008,1.91939,0.23954,0.47941,0.29231,0.11595,1.84155,2.18493,1.88019,0.000821682,0.000821682,0.000821682
3,181.821,1.73677,2.13548,1.81689,0.2895,0.78519,0.38632,0.16241,1.7745,1.85057,1.74956,0.00122173,0.00122173,0.00122173
4,240.631,1.73674,2.01526,1.86632,0.20594,0.92677,0.35689,0.1445,1.88832,2.03031,1.89913,0.00121254,0.00121254,0.00121254
5,300.098,1.71111,1.97968,1.78538,0.2882,0.74346,0.40133,0.19205,1.76722,1.72784,1.66047,0.00120005,0.00120005,0.00120005
6,359.395,1.67488,1.92475,1.76241,0.25185,0.89724,0.37079,0.17446,1.69347,1.6475,1.67215,0.00118756,0.00118756,0.00118756
7,418.761,1.67568,1.90629,1.80211,0.28125,0.80894,0.39796,0.17143,1.80114,1.66688,1.76164,0.00117507,0.00117507,0.00117507
8,478.019,1.59764,1.83117,1.70008,0.29152,0.84823,0.37365,0.17422,1.68892,1.66867,1.66119,0.00116259,0.00116259,0.00116259
9,537.572,1.65588,1.80289,1.74329,0.23179,0.82128,0.35438,0.10051,2.164,1.84444,2.05686,0.0011501,0.0011501,0.0011501
10,598.263,1.59899,1.79124,1.70154,0.25748,0.68377,0.4392,0.20378,1.75918,1.53684,1.72955,0.00113761,0.00113761,0.00113761
11,659.97,1.60759,1.75672,1.72643,0.30365,0.79256,0.4357,0.18121,1.91403,1.54126,1.82434,0.00112513,0.00112513,0.00112513
12,720.573,1.57386,1.71909,1.67319,0.27351,0.8731,0.50376,0.21875,1.72622,1.55581,1.66277,0.00111264,0.00111264,0.00111264
13,781.02,1.57688,1.70871,1.67136,0.31291,0.84715,0.46779,0.23648,1.58239,1.45744,1.56672,0.00110015,0.00110015,0.00110015
14,841.666,1.58418,1.71872,1.71387,0.36095,0.74069,0.54356,0.2756,1.63086,1.47716,1.59465,0.00108766,0.00108766,0.00108766
15,902.686,1.55654,1.66217,1.65384,0.37611,0.78677,0.54329,0.25282,1.65537,1.50245,1.59678,0.00107518,0.00107518,0.00107518
16,964.415,1.5334,1.66936,1.64151,0.52375,0.62354,0.58482,0.26031,1.85378,1.46695,1.77028,0.00106269,0.00106269,0.00106269
17,1025.25,1.52974,1.56159,1.63098,0.59304,0.67085,0.59622,0.28019,1.66256,1.48357,1.58321,0.0010502,0.0010502,0.0010502
18,1087.06,1.5457,1.57753,1.63189,0.49408,0.75434,0.62516,0.2778,1.80118,1.39725,1.70113,0.00103771,0.00103771,0.00103771
19,1148.27,1.50611,1.49956,1.62169,0.63906,0.70707,0.70533,0.36561,1.59852,1.23822,1.54009,0.00102523,0.00102523,0.00102523
20,1209.4,1.53108,1.52998,1.63384,0.64177,0.69648,0.71386,0.34743,1.66431,1.27297,1.60826,0.00101274,0.00101274,0.00101274
21,1270.6,1.49567,1.46638,1.58977,0.68869,0.76094,0.80402,0.4142,1.62158,1.14941,1.56686,0.00100025,0.00100025,0.00100025
22,1331.92,1.48725,1.41027,1.60197,0.78977,0.71372,0.8045,0.40628,1.69264,1.14105,1.60771,0.000987763,0.000987763,0.000987763
23,1393.48,1.48294,1.39131,1.57419,0.76402,0.7298,0.79997,0.41484,1.64326,1.11178,1.56105,0.000975275,0.000975275,0.000975275
24,1454.74,1.48507,1.35549,1.58688,0.76078,0.76147,0.80603,0.37708,1.73923,1.16295,1.66556,0.000962787,0.000962787,0.000962787
25,1514.87,1.47301,1.3786,1.59368,0.63578,0.77098,0.79117,0.39816,1.65241,1.22794,1.58186,0.0009503,0.0009503,0.0009503
26,1575.65,1.4932,1.3685,1.57862,0.75915,0.77791,0.82523,0.40704,1.70804,1.04673,1.6309,0.000937812,0.000937812,0.000937812
27,1636.56,1.47363,1.30036,1.57185,0.81671,0.79583,0.84314,0.43856,1.58896,1.0188,1.52123,0.000925325,0.000925325,0.000925325
28,1697.76,1.43553,1.34309,1.54645,0.8275,0.72891,0.83759,0.45653,1.51431,1.06971,1.48851,0.000912837,0.000912837,0.000912837
29,1758.32,1.43762,1.29849,1.53805,0.84199,0.70288,0.80879,0.4128,1.70201,1.04889,1.6059,0.00090035,0.00090035,0.00090035
30,1819.18,1.43243,1.26747,1.54436,0.73292,0.77992,0.78788,0.37013,1.81158,1.03486,1.70056,0.000887862,0.000887862,0.000887862
31,1880.5,1.43481,1.24446,1.52907,0.80286,0.78831,0.84932,0.4443,1.61593,0.98696,1.5427,0.000875375,0.000875375,0.000875375
32,1941.35,1.46282,1.25926,1.56718,0.79421,0.7659,0.84867,0.43141,1.60524,1.05303,1.55087,0.000862887,0.000862887,0.000862887
33,2001.51,1.42504,1.25156,1.52276,0.83278,0.75985,0.83189,0.433,1.60395,1.03675,1.55271,0.0008504,0.0008504,0.0008504
34,2062.4,1.42541,1.2178,1.53479,0.83756,0.77249,0.85092,0.44367,1.57914,0.97221,1.52792,0.000837912,0.000837912,0.000837912
35,2123.54,1.44062,1.21258,1.55231,0.80982,0.77846,0.84462,0.42166,1.6561,1.00671,1.58818,0.000825425,0.000825425,0.000825425
36,2184.43,1.40392,1.2152,1.50207,0.81658,0.78065,0.83578,0.42808,1.613,1.00712,1.55893,0.000812937,0.000812937,0.000812937
37,2244.84,1.36619,1.16076,1.48811,0.82214,0.80393,0.8538,0.46448,1.51901,0.95241,1.48982,0.00080045,0.00080045,0.00080045
38,2306.26,1.38621,1.18483,1.51099,0.82638,0.80569,0.86536,0.47717,1.5247,0.91443,1.49921,0.000787962,0.000787962,0.000787962
39,2367.94,1.39065,1.15772,1.50472,0.81001,0.75686,0.83727,0.45952,1.51536,0.98984,1.50274,0.000775475,0.000775475,0.000775475
40,2428.43,1.38208,1.11788,1.49143,0.85344,0.82459,0.87872,0.46084,1.60741,0.91457,1.54452,0.000762987,0.000762987,0.000762987
